"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"509","A732_SAO_GABRIEL_DO_OESTE",0.163,0.207,0.312,0.204
"510","A733_JALES",0.174,0.314,0.682,0.806
"511","A734_VALPARAISO",0.17,0.285,0.519,0.647
"512","A735_JOSE_BONIFACIO",0.21,0.311,0.671,0.731
"513","A736_ARIRANHA",0.125,0.211,0.341,0.346
"514","A737_IBITINGA",0.235,0.269,0.624,0.603
"515","A738_CASA_BRANCA",0.076,0.089,0.2,0.418
"516","A739_ITAPIRA",0.097,0.173,0.439,0.523
"517","A740_SAO_LUIS_DO_PARAITINGA",0.24,0.224,0.413,0.546
"518","A741_BARRA_BONITA_(Automatica)",0.193,0.302,0.641,0.701
"519","A742_CASSILANDIA_(Automatica)",0.107,0.148,0.573,0.661
"520","A743_RIO_BRILHANTE_(Automatica)",0.016,0.051,0.151,0.03
"521","A746_BARRA_DO_TURVO_(Automatica)",0.259,0.277,0.455,0.541
"522","A747_PRADOPOLIS_(Automatica)",0.241,0.213,0.541,0.598
"523","A748_BARRETOS_(Automatica)",0.253,0.37,0.698,0.761
"524","A749_JUTI_(Automatica)",0.155,0.152,0.256,0.198
"525","A750_AMAMBAI_(Automatica)",0.226,0.254,0.725,0.749
"526","A751_SETE_QUEDAS_(Automatica)",0.291,0.352,0.59,0.551
"527","A752_ITAQUIRAI_(Automatica)",0.119,0.182,0.443,0.403
"528","A753_ITUVERAVA_(Automatica)",0.259,0.353,0.817,0.871
"529","A754_SIDROLANDIA_(Automatica)",0.041,0.092,0.268,0.196
"530","A756_AGUA_CLARA_(Automatica)",0.109,0.189,0.281,0.379
"531","A801_PORTO_ALEGRE",0.444,0.469,0.657,0.354
"532","A802_Rio_Grande_(automatica)",0.227,0.288,0.506,0.532
"533","A803_Santa_Maria_(automatica)",0.315,0.352,0.771,0.768
"534","A804_Santana_do_Livramento_(automatica)",0.387,0.466,0.635,0.756
"535","A805_Santo_Augusto_(automatica)",0.237,0.344,0.602,0.512
